SongName,AlbumName,AlbumLink,Year,PlayCount,Lyrics,SongLink,Duration
Change Me,Journals,https://open.spotify.com/album/1rknZw4cyL9NInAqSwc8AA,2014,33798021,"Girl, I'm ready, if you're ready, now
Ooh, is it ever gonna be?
If you're with it, then I'm with it, now
To accept all responsibility
I'd go out of my way
To live by the words that you say
I don't wanna be the same
Maybe you could change me
♪
Maybe you could change me, oh
Maybe you could be the light
That opens up my eyes
Make all my wrongs right
Change me (change me), change me (change me)
Don't fight fire with fire
If I'm screaming, talk quieter
Understanding and patience
Feel the pain that I'm facing
Be like serenity
Help me position my mind
Take a chance
Make a difference in my life
Maybe you could change me
♪
Maybe you could change me (maybe you could change me)
Maybe you could be the light (you could be the light)
That opens up my eyes (opens up my eyes)
Make all my wrongs right
Change me (change me), change me (change me)
Girl, I'm ready, if you're ready, now
Ooh, is it ever gonna be?
If you're with it, then I'm with it, now",https://open.spotify.com/track/5cn4RhNZPPjt0onhqUMEfa,167
SOULFUL,SWAG II,https://open.spotify.com/album/2KrREEyHxkdFGYAd1DmMdS,2025,19751361,"No, I said this album kinda sound, you got some soul on this album too, bro
You kinda sound black on this motherfucker, man, I
You played that last song, I said, ""Damn""
You got a lil'- ay, I'm tellin' you, you more than two percent
On this album right here? I can hear the soul (thank you)
Your soul is black (thank you)
Your skin white, but your soul black, Justin, I promise you, man (thank you)
Damn, you sure you don't want no Black & Mild?",https://open.spotify.com/track/2vKnaui4TdTWlYzCYGy7Gz,36
Backpack,Journals,https://open.spotify.com/album/1rknZw4cyL9NInAqSwc8AA,2014,40190797,No Lyrics,https://open.spotify.com/track/0jX97Hk6L8ImeVdTTWXZ2D,251
Memphis,Journals,https://open.spotify.com/album/1rknZw4cyL9NInAqSwc8AA,2014,38769028,"I love you, need you
Need you here to stay
Girl, you're on my mind like twenty four seven
Every single time that I'm not with you
If you spend the night, baby, it could be heaven
Hit me on my line if you're tryna come through
I feel my heartbeat bumpin' to the bass
She give me butterflies and they won't go away (Away, away)
Under the stars, she took my hand and said
""Love you, need you, need you here to stay""
I'd like to give you what you need
I try, but you're makin' it hard for me
How do I make you believe?
'Cause I love you, need you, need you here to stay
I'd like to give you what you need
I try, but you're makin' it hard for me
How do I make you believe?
'Cause I love you, need you, need you here to stay
Every time you're distant, girl somethin' is missin'
And wish that I could fix it, I wish things were different
What else, what else, if you love me, girl, then say it
Say what else, what else, if you wanna be my baby
I feel my heartbeat bumpin' to the bass
She give me butterflies and they won't go away (Away, away)
Under the stars, she took my hand and said
""Love you, need you, need you here to stay""
I'd like to give you what you need (Give you what you need)
I try, but you're makin' it hard for me (Makin' it hard for me)
How do I make you believe?
'Cause I love you, need you, need you here to stay
I'd like to give you what you need (What you need)
I try, but you're makin' it hard for me
How do I make you believe?
'Cause I love you, need you, need you here to stay
Is this what you want? The baddest, the baddest
I know what you want, without askin'
I hit once, have to have it, hit it twice, it's a habit, don't get caught up in traffic
I heard that it's stormin' outside, let's do that on the mattress
I just keep askin, is it real, is it real? Look, tell me, is it real?
Yep, real enough to go and get it tatted
Give you flowers, now you look like you're on a pageant
I can take you to the crib, condo, or the cabin, what's up?
If you make it, I can make it happen, I can grant it
Don't you take my ""grant it"" though for granted
I know that's not your intent, we ain't even campin'
And to leave this bed Imma need a fuckin' ransom
Man, I got her screamin' ""Finally Famous!"" when we fly around
Never lie to you 'less I lie you down
I put the writin' on the wall, but you don't understand it all like we in Chinatown
We one and one, both one of ones, and when you put the twos together
That's not twenty-two, it's forever, I promise 20-20 couldn't even make it clearer
I swear, Sean Don
I'd like to give you what you need (Give you what you need)
I try, but you're makin' it hard for me (Makin' it hard for me)
How do I make you believe?
'Cause I love you, need you, need you here to stay
I'd like to give you what you need (What you need)
I try, but you're makin' it hard for me
How do I make you believe?
'Cause I love you, need you, need you here to stay",https://open.spotify.com/track/5qHcOrOMSznBWzR8Xy1WYZ,223
Lonely (with benny blanco),Justice,https://open.spotify.com/album/5dGWwsZ9iB2Xc3UKR0gif2,2021,956489279,"Everybody knows my name now
But somethin' 'bout it still feels strange
Like lookin' in a mirror, tryna steady yourself
And seein' somebody else
And everything is not the same now
It feels like all our lives have changed
Maybe when I'm older, it'll all calm down
But it's killin' me now
What if you had it all, but nobody to call?
Maybe then you'd know me
'Cause I've had everything, but no one's listening
♪
And that's just fuckin' lonely
I'm so lo-o-o-onely
Lo-o-o-onely
Everybody knows my past now
Like my house was always made of glass
And maybe that's the price you pay
For the money and fame at an early age
And everybody saw me sick
And it felt like no one gave a shit
They criticized the things I did as an idiot kid
What if you had it all, but nobody to call?
Maybe then you'd know me
'Cause I've had everything, but no one's listening
And that's just fuckin' lonely
I'm so lo-o-o-onely
Lo-o-o-onely
I'm so lo-o-o-onely
Lo-o-o-onely",https://open.spotify.com/track/3S8jK1mGzQi24ilFb45DAZ,149
Sorry - Latino Remix,Sorry (Latino Remix),https://open.spotify.com/album/6GY8rrxuEzSJI08F0rfigi,2015,195483706,"Oh-oh
♪
You gotta go and get angry at all of my honesty
You know I try but I don't do too well with apologies
I hope I don't run out of time can someone call a referee?
Cause I just need one more shot at forgiveness
I know you know that I made those mistakes maybe once or twice
By once or twice I mean maybe a couple of hundred times
So let me oh let me redeem, oh redeem of myself tonight
Cause I just need one more shot at second chances, yeah
Is it too late now to say sorry?
Cause I'm, missing more than just your body, ohhh
Is it too late now to say sorry?
Yeah, I know-ow-ow that I let you down
Is it too late to say I'm sorry now?
(Oh-oh) I'm sorry, yeah
(Oh-oh) sorry, ohh
(Oh-oh) sorry
Yeah, I know-ow-ow that I let you down
Is it too late to say I'm sorry now?
(JB & JB latino remix records) Oh-oh
Quisiera regresar el tiempo y cambiar errores
Sé que todo fue mi culpa y te causé dolores
Espero que de volver tú tengas intenciones
Porque hoy estoy aquí extrañándote
Ok, tu por mi morías, ma'
No solo física, había química
Yo te llamaba y no querías contestar
Sé que fui tonto y no te supe valorar
Entiende mi estilo de vida
Por favor comprende
Que esto no pasó de repente
Si está en mi mano no lo dejo a la suerte
Solo espero que me perdones
Nena, tengo tantas ganas de amarte
Solo quiero que me perdones
Así tú y yo podremos estar
Olvida todo no voy a fallar
I'm not just trying to get you back on me (oh no, no)
Cause I'm, missing more than just your body (your body)
Is it too late now to say sorry?
Yeah I know-ow-ow that I let you down
Is it too late to say that I'm sorry now?
(Oh-oh) I'm sorry, yeah
(Oh-oh) sorry, ohh
(Oh-oh) sorry
Yeah, I know-ow-ow that I let you down
Is it too late to say that I'm sorry now?
(Oh-oh) I'm sorry, yeah
(Oh-oh) sorry, ohh
(Oh-oh) sorry
Yeah, I know-ow-ow that I let you down (lo siento niña, Justin Bieber, J Balvin)
Is it too late to say that I'm sorry now?
Sorry",https://open.spotify.com/track/3grxgV6Ot8KqtysApjYLs1,219
SWAG,SWAG,https://open.spotify.com/album/5vD5M5VW62LL78Ko8x0CVZ,2025,27259902,"Yea vibe in the spot
Shot on the clock
Got spot litty turn up in this bih don't stop
And I gotta bad lil Vibe
I'm talkin bout please don't stop
Yeah give it my all I think I might give her everything I got
Okay swag
They could call me the swag prince
They can just call me the swag king
I'm outside silver swaging
I got it on me I'm not lacking
I'm tryna turn you to a snack bae
U look like more than a snack bae
Weight on me
Your body don't need
Don't need no silver line
You're body don't need
Don't need no touch but mine
You don't gotta dance around it
You should know
I put you on top
On me
Your body don't need
Don't need no silver line
You're body don't need
Don't need no touch but mine
You don't gotta dance around it
You should know
I put you on top of the world
Swag
Swag on me
Swag
Swag on me
♪
Weight on me
Your body don't need
Don't need no silver line
You're body don't need
Don't need no touch but mine
You don't gotta dance around it
You should know
I put you on top
On me
Your body don't need
Don't need no silver line
You're body don't need
Don't need no touch but mine
You don't gotta dance around it
You should know
I put you on top of the world",https://open.spotify.com/track/3WQ5w7ruC3c861lHXF9Gs2,150
Where Are Ü Now (with Justin Bieber),Skrillex and Diplo present Jack Ü,https://open.spotify.com/album/6bfkwBrGYKJFk6Z4QVyjxd,2015,1222809841,"I need you the m-, I need you
I need you the m-, I need you
I need you the m-, the m-, the m-, the m-, the m-, I need you the m...
I need you, I need you the m-, I need you
I need you the m-, the m-, the m-, the m-, the m-
You the m-, the m-, the m-, the m-, the m-, I need you the most
I gave you the key when the door wasn't open
Just admit it
See, I gave you faith, turned your doubt into hoping, can't deny it
Now I'm all alone and my joys turned to moping
Tell me here, where are you now that I need ya?
Where are you now? (Where are you now?)
Where are you now that I need ya?
Couldn't find you anywhere
When you broke down I didn't leave ya
I was by your side
So where are you now that I need ya?
Where are you now that I need ya?
♪
Where are you now that I need ya?
♪
Where are you now that I need ya?
♪
Where are you now that I need ya?
♪
I gave you attention when nobody else was payin', hmm
I gave you the shirt off my back whatchu sayin'
To keep you warm
I showed you the game everybody else was playin', that's for sure (that's for sure)
And I was on my knees when nobody else was prayin', oh Lord
♪
Where are you now that I need ya?
Where are you now that I need ya?
I need you the m-, I need you, I need you the m-, I need you,
I need you the m-, the m-, the m-, the m-, the m-, I need you the m...
I need you, I need you the m-, the m-, the m-, the m-, the m-
I need you the most
♪
Where are you now that I need ya?
♪
Where are you now that I need ya?
♪
Where are you now that I need ya?
♪
I need you the most",https://open.spotify.com/track/66hayvUbTotekKU3H4ta1f,250
FIRST PLACE,SWAG II,https://open.spotify.com/album/2KrREEyHxkdFGYAd1DmMdS,2025,31438332,"How do we get back again
How'd we get mixed up in the first place
A windows opening
You can't spread your wings in a birdcage
We get high and we go down again
We go round to right back where we been
And the days go by the nights they ever end
Do it all again
Cause when's it's on sight
It's on sight
All of it all of it can wait
It's a celebration
Like it's your birthday
It's so amazing
I just wanna taste ya
Let's celebrate
In the best way
Like it's your birthday
Oh all I see is you now
You in first place
Oh don't wanna lose you now
That's the worst case
Where do I begin
It's been this way for a long time
Something's gotta give
Cuz you keep on taking all mine
We get high and we go down again
We go round to right back where we been
And the days go by the nights they ever end
Do it all again
Cause when's it's on sight
It's on sight
All of it all of it can wait
It's a celebration
Like your birthday
It's so amazing
I just wanna taste ya
Let's celebrate
In the best way
Like it's your birthday
Oh all all I see is you now
You in first place
Oh don't wanna lose you now
That's the worst case",https://open.spotify.com/track/7rUnZkS1JeOUYt62TOELeh,200
ZUMA HOUSE,SWAG II,https://open.spotify.com/album/2KrREEyHxkdFGYAd1DmMdS,2025,16120439,"If I fall, ooh, would you catch me?
And if I let you down, would you forgive me?
♪
And somehow I healed the decay, oh-oh
And sorry, I'm chantin', you're whispering, oh-oh
As I fly above the river, the most high, yeah, ooh
Can you save the rain?
Can you fight for me?",https://open.spotify.com/track/4X6bptovPH38mNE9dLwuoQ,83
