=== Run information ===

Evaluator:    weka.attributeSelection.CorrelationAttributeEval 
Search:       weka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1
Relation:     output
Instances:    2292
Attributes:   240
              [list of attributes omitted]
Evaluation mode:    evaluate on all training data



=== Attribute Selection on all input data ===

Search Method:
	Attribute ranking.

Attribute Evaluator (supervised, Class (nominal): 1 Class):
	Correlation Ranking Filter
Ranked attributes:
 0.3408658      4 FFT mean
 0.317298       2 Total number of words
 0.3155635      8 FFT max
 0.3141439     42 Punctuation characters ratio
 0.3038382     44 Frequency of single quotes
 0.2932392      6 FFT stddev
 0.2681959    236 Soundex homoganity hist bin 0
 0.260798     232 Soundex diversity
 0.2341558     70 Sentence length stddev
 0.2304408      3 Word diversity
 0.2275894     52 Frequency of open parenthesis
 0.2263373     69 Sentence length mean
 0.2239262     71 Sentence length character mean
 0.2163414     31 Word homogeneity mean
 0.216246     233 Soundex homogeneity mean
 0.2146496     35 Word homoganity hist bin 1
 0.1951083      5 FFT median
 0.1756798     79 Sentence length hist bin 7
 0.1677019      9 FFT histogram bin 1
 0.161483      41 Word homoganity hist bin 7
 0.1524367     45 ,Frequency of double quotes
 0.1488868     34 Word homoganity hist bin 0
 0.1477346     75 Sentence length hist bin 3
 0.1475034     72 Sentence length hist bin 0
 0.1412956     13 FFT histogram bin 5
 0.1390899    240 Soundex homoganity hist bin 4
 0.1179382     98 Number diversity
 0.1152957    120 negative words hist bin 0
 0.1138561    137 hapiness words hist bin 3
 0.1102399    129 hapiness words mean
 0.108307     138 hapiness words hist bin 4
 0.1082204    132 hapiness words max
 0.1081045     10 FFT histogram bin 2
 0.107768     106 positive words hist bin 0
 0.1065275    133 hapiness words dif
 0.1062635     14 Word length mean
 0.105714      46 Frequency of apostepe
 0.1052159    105 positive words dif
 0.1046552    102 positive words stddev
 0.1046296    136 hapiness words hist bin 2
 0.1037833    104 positive words max
 0.1028334    130 hapiness words stddev
 0.1021317    107 positive words hist bin 1
 0.1016891     74 Sentence length hist bin 2
 0.0995744    135 hapiness words hist bin 1
 0.0989791    116 negative words stddev
 0.0977698    134 hapiness words hist bin 0
 0.0972949    101 positive words mean
 0.0970676    139 hapiness words hist bin 5
 0.0965504    228 acronyms frequency
 0.0960982    124 negative words hist bin 4
 0.0956605    108 positive words hist bin 2
 0.0951099    210 computer frequency
 0.0948889    110 positive words hist bin 4
 0.0938937    119 negative words dif
 0.0938937    118 negative words max
 0.0928792     93 Word repetition span 3
 0.0920121     94 Word repetition span 7
 0.091546     115 negative words mean
 0.0907099    140 hapiness words hist bin 6
 0.0905993     20 Words of length 6
 0.0896691     50 Frequency of exclamation
 0.0884298    126 negative words hist bin 6
 0.0881524    113 positive words hist bin 7
 0.0881375     95 Word repetition span 11
 0.0875547    109 positive words hist bin 3
 0.0875384    131 hapiness words min
 0.0872171     40 Word homoganity hist bin 6
 0.0857483     63 Quotation length mean
 0.0854046     62 Quotations number
 0.0828838     76 Sentence length hist bin 4
 0.0826436    195 transportation frequency
 0.0818653    141 hapiness words hist bin 7
 0.080407      96 Word repetition span 17
 0.0796481    197 clothing frequency
 0.0785725    112 positive words hist bin 6
 0.0765888    127 negative words hist bin 7
 0.0757511    229 self frequency
 0.0746189    121 negative words hist bin 1
 0.0737276    219 restaurants frequency
 0.0734912    122 negative words hist bin 2
 0.0734672    239 Soundex homoganity hist bin 3
 0.0730388     60 Use of upper case
 0.0726619     38 Word homoganity hist bin 4
 0.0725818     49 Frequency of forwardslash
 0.0706819    191 medical frequency
 0.0691079    198 shoes frequency
 0.0675108     21 Words of length 7
 0.0674205     43 Frequency of fullstop
 0.0672444     39 Word homoganity hist bin 5
 0.0667511    171 land forms frequency
 0.0644297    111 positive words hist bin 5
 0.0622757      7 FFT min
 0.0620863    161 military frequency
 0.0592839    153 US states frequency
 0.0590142     81 Coleman�Liau index
 0.0589549     19 Words of length 5
 0.0586883     36 Word homoganity hist bin 2
 0.0559719    123 negative words hist bin 3
 0.0555252     64 Quotation length stddev
 0.0551738    183 car parts frequency
