=== Run information ===

Evaluator:    weka.attributeSelection.OneRAttributeEval -S 1 -F 10 -B 6
Search:       weka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1
Relation:     output
Instances:    2292
Attributes:   240
              [list of attributes omitted]
Evaluation mode:    evaluate on all training data



=== Attribute Selection on all input data ===

Search Method:
	Attribute ranking.

Attribute Evaluator (supervised, Class (nominal): 1 Class):
	OneR feature evaluator.

	Using 10 fold cross validation for evaluating attributes.
	Minimum bucket size for OneR: 6

Ranked attributes:
65.4014       4 FFT mean
63.6562       8 FFT max
63.08901      2 Total number of words
62.65271     42 Punctuation characters ratio
62.65271      6 FFT stddev
61.82373     41 Word homoganity hist bin 7
61.25654     35 Word homoganity hist bin 1
61.03839     31 Word homogeneity mean
60.99476     52 Frequency of open parenthesis
60.99476      5 FFT median
60.42757     69 Sentence length mean
60.38394    237 Soundex homoganity hist bin 1
60.12216     37 Word homoganity hist bin 3
59.99127     45 ,Frequency of double quotes
59.90401     44 Frequency of single quotes
59.38045    233 Soundex homogeneity mean
59.07504    230 female frequency
58.85689     38 Word homoganity hist bin 4
58.81326      9 FFT histogram bin 1
58.24607    240 Soundex homoganity hist bin 4
58.02792     71 Sentence length character mean
58.02792     13 FFT histogram bin 5
57.89703     62 Quotations number
57.63525    215 furnitures frequency
57.63525    238 Soundex homoganity hist bin 2
57.50436    236 Soundex homoganity hist bin 0
57.37347    223 measurements frequency
57.15532     33 Word homogeneity maximum
57.11169    231 male frequency
57.11169    214 geography frequency
56.93717    207 fair frequency
56.93717     23 Words of length 9
56.93717    183 car parts frequency
56.93717      3 Word diversity
56.89354     99 Mean of numbers
56.71902     65 Quotation part of the text
56.67539    232 Soundex diversity
56.67539    209 circus frequency
56.58813    165 dance frequency
56.5445      63 Quotation length mean
56.5445      98 Number diversity
56.41361     36 Word homoganity hist bin 2
56.41361    198 shoes frequency
56.32635    199 hats frequency
56.23909    167 energy frequency
56.23909     75 Sentence length hist bin 3
56.19546     70 Sentence length stddev
56.15183    195 transportation frequency
56.1082     159 money frequency
56.1082     235 Soundex homogeneity maximum
55.97731     79 Sentence length hist bin 7
55.93368     51 Frequency of question mark
55.84642    186 spring frequency
55.80279     34 Word homoganity hist bin 0
55.75916    157 elections frequency
55.71553    218 house frequency
55.62827    220 roads frequency
55.58464     40 Word homoganity hist bin 6
55.54101    155 school frequency
55.45375     97 Use of numbers
55.36649     96 Word repetition span 17
55.32286     74 Sentence length hist bin 2
55.32286    153 US states frequency
55.32286    151 science frequency
55.32286    174 colors frequency
55.32286    162 law frequency
55.27923    217 leaders frequency
55.19197    205 tools frequency
55.14834    114 negative words frequency
55.06108    164 emotions frequency
55.06108     72 Sentence length hist bin 0
55.01745    221 rocks and minerals frequency
55.01745    201 public buildings frequency
54.84293    185 fall frequency
54.62478    178 fish frequency
54.62478    179 birds frequency
54.58115     76 Sentence length hist bin 4
54.58115    196 time frequency
54.58115    204 office frequency
54.58115    181 insects frequency
54.53752     77 Sentence length hist bin 5
54.49389    172 art frequency
54.45026    193 farm frequency
54.45026     46 Frequency of apostepe
54.45026    202 birthday frequency
54.40663    187 summer frequency
54.40663    210 computer frequency
54.363      188 winter frequency
54.31937    168 familiy frequency
54.23211    228 acronyms frequency
54.23211    224 containers frequency
54.18848    226 yard frequency
54.18848    171 land forms frequency
54.14485     24 Words of length 10
54.14485    208 castles and kings and queens frequency
54.10122     64 Quotation length stddev
54.10122     32 Word homogeneity StdDev
54.05759    225 acquaintances frequency
54.05759    222 weapons frequency
54.01396     60 Use of upper case
53.97033    182 cars frequency
53.9267     194 trees frequency
53.9267     197 clothing frequency
53.83944    200 buildings frequency
53.83944    192 body frequency
53.79581    212 kitchen frequency
53.75218    154 shapes frequency
53.70855    239 Soundex homoganity hist bin 3
53.66492    100 positive words frequency
53.66492    184 beach frequency
53.62129     10 FFT histogram bin 2
53.62129    166 boats frequency
53.53403     20 Words of length 6
53.53403     61 Upper case word mean
53.4904      78 Sentence length hist bin 6
53.4904     229 self frequency
53.4904     203 monsters frequency
