=== Run information ===

Evaluator:    weka.attributeSelection.SymmetricalUncertAttributeEval 
Search:       weka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1
Relation:     output
Instances:    2292
Attributes:   240
              [list of attributes omitted]
Evaluation mode:    evaluate on all training data



=== Attribute Selection on all input data ===

Search Method:
	Attribute ranking.

Attribute Evaluator (supervised, Class (nominal): 1 Class):
	Symmetrical Uncertainty Ranking Filter

Ranked attributes:
 0.10072      4 FFT mean
 0.08869      8 FFT max
 0.08794      2 Total number of words
 0.08776      6 FFT stddev
 0.0798      44 Frequency of single quotes
 0.07879     35 Word homoganity hist bin 1
 0.07544    233 Soundex homogeneity mean
 0.06856     71 Sentence length character mean
 0.06667     31 Word homogeneity mean
 0.0653      69 Sentence length mean
 0.06437     42 Punctuation characters ratio
 0.05931     45 ,Frequency of double quotes
 0.0589      75 Sentence length hist bin 3
 0.05383     70 Sentence length stddev
 0.05359      5 FFT median
 0.05143     52 Frequency of open parenthesis
 0.0508       3 Word diversity
 0.05043    237 Soundex homoganity hist bin 1
 0.04984    197 clothing frequency
 0.04913     41 Word homoganity hist bin 7
 0.04877    232 Soundex diversity
 0.04457    236 Soundex homoganity hist bin 0
 0.04149     74 Sentence length hist bin 2
 0.03998     13 FFT histogram bin 5
 0.03946    230 female frequency
 0.03944    240 Soundex homoganity hist bin 4
 0.03879    228 acronyms frequency
 0.03825     37 Word homoganity hist bin 3
 0.03808    195 transportation frequency
 0.03767    183 car parts frequency
 0.03727    114 negative words frequency
 0.03657     36 Word homoganity hist bin 2
 0.03613    217 leaders frequency
 0.03588    238 Soundex homoganity hist bin 2
 0.03532    186 spring frequency
 0.0342      46 Frequency of apostepe
 0.03415    200 buildings frequency
 0.03403    191 medical frequency
 0.03282    160 driving frequency
 0.03258      9 FFT histogram bin 1
 0.03249    229 self frequency
 0.03225    168 familiy frequency
 0.03205    223 measurements frequency
 0.03137     99 Mean of numbers
 0.03124    150 math frequency
 0.03109    189 weather frequency
 0.03106     51 Frequency of question mark
 0.03099     38 Word homoganity hist bin 4
 0.03072    161 military frequency
 0.03061     34 Word homoganity hist bin 0
 0.03007     93 Word repetition span 3
 0.03006     77 Sentence length hist bin 5
 0.03001    204 office frequency
 0.02955     60 Use of upper case
 0.02926     10 FFT histogram bin 2
 0.02904    205 tools frequency
 0.02897    225 acquaintances frequency
 0.02844    116 negative words stddev
 0.02837    212 kitchen frequency
 0.02816    218 house frequency
 0.02811     95 Word repetition span 11
 0.02785    166 boats frequency
 0.02779    211 cooking frequency
 0.02778    164 emotions frequency
 0.02741     79 Sentence length hist bin 7
 0.02725    100 positive words frequency
 0.0272     215 furnitures frequency
 0.02677    171 land forms frequency
 0.02649    190 vacation frequency
 0.02646     21 Words of length 7
 0.02621     22 Words of length 8
 0.02564     94 Word repetition span 7
 0.02544    198 shoes frequency
 0.02461     96 Word repetition span 17
 0.02457    159 money frequency
 0.02454     65 Quotation part of the text
 0.02436    169 musical instruments frequency
 0.0243     214 geography frequency
 0.02409    170 music frequency
 0.02376     62 Quotations number
 0.02376     63 Quotation length mean
 0.02373    188 winter frequency
 0.02332    120 negative words hist bin 0
 0.02331    174 colors frequency
 0.02322    184 beach frequency
 0.02295     14 Word length mean
 0.02289     19 Words of length 5
 0.02284    173 astronomy frequency
 0.02262    134 hapiness words hist bin 0
 0.02262     50 Frequency of exclamation
 0.0226      40 Word homoganity hist bin 6
 0.02234    142 happy words frequency
 0.02233     76 Sentence length hist bin 4
 0.02224    196 time frequency
 0.02207    220 roads frequency
 0.02179    219 restaurants frequency
 0.02158     73 Sentence length hist bin 1
 0.02155    221 rocks and minerals frequency
 0.02154    138 hapiness words hist bin 4
 0.02149    144 adverbs frequency
 0.02138     98 Number diversity
 0.02107     23 Words of length 9
 0.02092    172 art frequency
 0.02061    178 fish frequency
 0.02055    207 fair frequency
 0.02039    192 body frequency
 0.02037     32 Word homogeneity StdDev
 0.02036    167 energy frequency
 0.02033     24 Words of length 10
 0.02026    106 positive words hist bin 0
 0.02026    127 negative words hist bin 7
